,sessionId,isAI,condition,ExperimentName
0,647731a58664fd383a5bfc0f,True,AI_lineage,rn-iii-pilot-5b
1,647731a58664fd383a5bfc10,True,AI_lineage,rn-iii-pilot-5b
2,647731a58664fd383a5bfc11,True,AI_lineage,rn-iii-pilot-5b
3,647731a58664fd383a5bfc12,True,AI_lineage,rn-iii-pilot-5b
4,647731a58664fd383a5bfc13,True,AI_lineage,rn-iii-pilot-5b
5,647731a58664fd383a5bfc14,True,AI_lineage,rn-iii-pilot-5b
6,647731a58664fd383a5bfc15,True,AI_lineage,rn-iii-pilot-5b
7,647731a58664fd383a5bfc16,True,AI_lineage,rn-iii-pilot-5b
8,647731a58664fd383a5bfc17,True,AI_lineage,rn-iii-pilot-5b
9,647731a58664fd383a5bfc18,True,AI_lineage,rn-iii-pilot-5b
10,647731a58664fd383a5bfc19,False,AI_lineage,rn-iii-pilot-5b
11,647731a58664fd383a5bfc1a,False,AI_lineage,rn-iii-pilot-5b
12,647731a58664fd383a5bfc1b,False,AI_lineage,rn-iii-pilot-5b
13,647731a58664fd383a5bfc1c,False,AI_lineage,rn-iii-pilot-5b
14,647731a58664fd383a5bfc1d,False,AI_lineage,rn-iii-pilot-5b
15,647731a58664fd383a5bfc1e,False,AI_lineage,rn-iii-pilot-5b
16,647731a58664fd383a5bfc1f,False,AI_lineage,rn-iii-pilot-5b
17,647731a58664fd383a5bfc20,False,AI_lineage,rn-iii-pilot-5b
18,647731a58664fd383a5bfc22,False,AI_lineage,rn-iii-pilot-5b
19,647731a58664fd383a5bfc23,False,AI_lineage,rn-iii-pilot-5b
20,64773d6f8664fd383a5bfc32,False,AI_lineage,rn-iii-pilot-5b
