,expName,generation,duration
0,rn-iii-pilot-1B,1,9.392135383333335
1,rn-iii-pilot-1B,1,10.66076805
2,rn-iii-pilot-1B,1,11.800989733333333
3,rn-iii-pilot-1B,1,16.37065985
4,rn-iii-pilot-1B,1,8.623209300000001
5,rn-iii-pilot-1B,1,9.022896966666668
6,rn-iii-pilot-1B,1,27.41013501666667
7,rn-iii-pilot-1B,1,14.400486883333334
8,rn-iii-pilot-1B,1,11.984102233333335
9,rn-iii-pilot-1A,0,17.439149216666667
10,rn-iii-pilot-1A,0,14.817668883333333
11,rn-iii-pilot-1A,0,11.586333666666667
12,rn-iii-pilot-1A,0,10.472241033333335
13,rn-iii-pilot-1A,0,13.294818616666667
14,rn-iii-pilot-1A,0,9.4346266
15,rn-iii-pilot-1A,0,20.330256666666667
16,rn-iii-pilot-1A,0,9.656830666666668
17,rn-iii-pilot-1A,0,19.453297016666667
18,rn-iii-pilot-1A,0,12.345763250000001
