,sessionId,isAI,condition,ExperimentName
0,636e575d5fa132cb00661dae,False,human_lineage,rn-iii-pilot-1A
1,636e575d5fa132cb00661daf,False,human_lineage,rn-iii-pilot-1A
2,636e575d5fa132cb00661db0,False,human_lineage,rn-iii-pilot-1A
3,636e575d5fa132cb00661db1,False,human_lineage,rn-iii-pilot-1A
4,636e575d5fa132cb00661db2,False,human_lineage,rn-iii-pilot-1A
5,636e575d5fa132cb00661db3,False,human_lineage,rn-iii-pilot-1A
6,636e575d5fa132cb00661db4,False,human_lineage,rn-iii-pilot-1A
7,636e575d5fa132cb00661db5,False,human_lineage,rn-iii-pilot-1A
8,636e575d5fa132cb00661db6,False,human_lineage,rn-iii-pilot-1A
9,636e575d5fa132cb00661db7,False,human_lineage,rn-iii-pilot-1A
