playerId,trialIdx,trialType,score,maxLevelReached,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,networkId,myopic_score,ai_score,sessionId
c19,4.0,individual,700.0,0.0,,,,,,,,,cf1b5d875744aee7aff66b414e956861,700.0,1250.0,647731a58664fd383a5bfc19
c19,5.0,individual,600.0,0.0,,,,,,,,,9afc39c096a3ff0e90eb2c646731216d,600.0,1450.0,647731a58664fd383a5bfc19
c19,10.0,try_yourself,400.0,1.0,,,,,,,,,949d93f06b9a159e993467fe9d6eec5a,500.0,1150.0,647731a58664fd383a5bfc19
c19,12.0,try_yourself,950.0,4.0,,,,,,,,,949d93f06b9a159e993467fe9d6eec5a,500.0,1150.0,647731a58664fd383a5bfc19
c19,13.0,try_yourself,0.0,2.0,,,,,,,,,13cca31d179666d20e50d055a4ecefb7,400.0,1250.0,647731a58664fd383a5bfc19
c19,15.0,try_yourself,1450.0,4.0,,,,,,,,,13cca31d179666d20e50d055a4ecefb7,400.0,1250.0,647731a58664fd383a5bfc19
c19,16.0,try_yourself,1050.0,4.0,,,,,,,,,05f42eade1468cc6abd87196683cc94b,600.0,1250.0,647731a58664fd383a5bfc19
c19,18.0,try_yourself,1250.0,4.0,,,,,,,,,05f42eade1468cc6abd87196683cc94b,600.0,1250.0,647731a58664fd383a5bfc19
c19,19.0,try_yourself,650.0,1.0,,,,,,,,,bdb44c717649461fc71058a0a17c78a3,700.0,1250.0,647731a58664fd383a5bfc19
c19,21.0,try_yourself,1250.0,4.0,,,,,,,,,bdb44c717649461fc71058a0a17c78a3,700.0,1250.0,647731a58664fd383a5bfc19
c19,23.0,individual,1050.0,4.0,,,,,,,,,d93c813d25b370a9dc0e1148bce08969,700.0,1050.0,647731a58664fd383a5bfc19
c19,24.0,individual,-600.0,0.0,,,,,,,,,b82a9b0f2b50732a24bea25bae09d879,500.0,1150.0,647731a58664fd383a5bfc19
c19,25.0,individual,1150.0,4.0,,,,,,,,,eaff332e4a253c20daf2f6ddb59883e2,800.0,1250.0,647731a58664fd383a5bfc19
c19,26.0,individual,750.0,4.0,,,,,,,,,6f44ff43e3ce41f81cb56990fb5d7129,800.0,1450.0,647731a58664fd383a5bfc19
c19,,demonstration,,,,,,,,,,,,,,647731a58664fd383a5bfc19
c1a,4.0,individual,500.0,0.0,,,,,,,,,6193dc93fccbaaeb801297a9198f69e1,700.0,1250.0,647731a58664fd383a5bfc1a
c1a,5.0,individual,400.0,1.0,,,,,,,,,5d68c786da3fe4a4d5a0e5168b2496ab,600.0,1050.0,647731a58664fd383a5bfc1a
c1a,10.0,try_yourself,600.0,0.0,,,,,,,,,f4fc0eed1f99e4ca2f29698f38964616,800.0,850.0,647731a58664fd383a5bfc1a
c1a,12.0,try_yourself,550.0,4.0,,,,,,,,,f4fc0eed1f99e4ca2f29698f38964616,800.0,850.0,647731a58664fd383a5bfc1a
c1a,13.0,try_yourself,0.0,0.0,,,,,,,,,d4f0679d1c1e12e13bd855b7006fd632,300.0,1250.0,647731a58664fd383a5bfc1a
c1a,15.0,try_yourself,1250.0,4.0,,,,,,,,,d4f0679d1c1e12e13bd855b7006fd632,300.0,1250.0,647731a58664fd383a5bfc1a
c1a,16.0,try_yourself,1250.0,4.0,,,,,,,,,d49b5f8c2be2938a2bf9dd537cacce29,400.0,850.0,647731a58664fd383a5bfc1a
c1a,18.0,try_yourself,1250.0,4.0,,,,,,,,,d49b5f8c2be2938a2bf9dd537cacce29,400.0,850.0,647731a58664fd383a5bfc1a
c1a,19.0,try_yourself,1250.0,4.0,,,,,,,,,9b13a46db8052c4c8d30ab008509ecfb,400.0,1050.0,647731a58664fd383a5bfc1a
c1a,21.0,try_yourself,1250.0,4.0,,,,,,,,,9b13a46db8052c4c8d30ab008509ecfb,400.0,1050.0,647731a58664fd383a5bfc1a
c1a,23.0,individual,1250.0,4.0,,,,,,,,,cb11a92337e321f67485a44764c1d9d7,400.0,1050.0,647731a58664fd383a5bfc1a
c1a,24.0,individual,1250.0,4.0,,,,,,,,,dcf8c0a56a196ab09598672bfe02e0de,0.0,1050.0,647731a58664fd383a5bfc1a
c1a,25.0,individual,1650.0,4.0,,,,,,,,,d97c38c9218b6edd11813f792278572f,300.0,1650.0,647731a58664fd383a5bfc1a
c1a,26.0,individual,550.0,1.0,,,,,,,,,8bc826881809ecd3ac951da2e6c8d01a,800.0,1250.0,647731a58664fd383a5bfc1a
c1a,,demonstration,,,,,,,,,,,,,,647731a58664fd383a5bfc1a
c1b,4.0,individual,-250.0,1.0,,,,,,,,,e7e2799b631e5241a1c4106ac8f5c1db,500.0,950.0,647731a58664fd383a5bfc1b
c1b,5.0,individual,-450.0,3.0,,,,,,,,,4a36ab265d2cf9262b365e4cf875de0a,200.0,1450.0,647731a58664fd383a5bfc1b
c1b,10.0,try_yourself,850.0,4.0,,,,,,,,,494f81180d20e6e3833458bc9e3650a4,400.0,950.0,647731a58664fd383a5bfc1b
c1b,12.0,try_yourself,950.0,4.0,,,,,,,,,494f81180d20e6e3833458bc9e3650a4,400.0,950.0,647731a58664fd383a5bfc1b
c1b,13.0,try_yourself,-200.0,2.0,,,,,,,,,fd96e4d30861ce81eac2b1500da110fd,300.0,1050.0,647731a58664fd383a5bfc1b
c1b,15.0,try_yourself,1050.0,4.0,,,,,,,,,fd96e4d30861ce81eac2b1500da110fd,300.0,1050.0,647731a58664fd383a5bfc1b
c1b,16.0,try_yourself,200.0,0.0,,,,,,,,,952e931bb61a5b5dacf6562363b91260,600.0,1450.0,647731a58664fd383a5bfc1b
c1b,18.0,try_yourself,1150.0,4.0,,,,,,,,,952e931bb61a5b5dacf6562363b91260,600.0,1450.0,647731a58664fd383a5bfc1b
c1b,19.0,try_yourself,1250.0,4.0,,,,,,,,,4bab7793667a3302e33d0987aa8d9f8b,800.0,1250.0,647731a58664fd383a5bfc1b
c1b,21.0,try_yourself,1450.0,4.0,,,,,,,,,4bab7793667a3302e33d0987aa8d9f8b,800.0,1250.0,647731a58664fd383a5bfc1b
c1b,23.0,individual,1650.0,4.0,,,,,,,,,294420856c07b7414bed77b8c921b984,400.0,1650.0,647731a58664fd383a5bfc1b
c1b,24.0,individual,1050.0,4.0,,,,,,,,,495d39d6a2599e978223c3adde145ccd,800.0,1450.0,647731a58664fd383a5bfc1b
c1b,25.0,individual,1250.0,4.0,,,,,,,,,9e4ab39716e0fbb3f7392cf01994ab02,500.0,1050.0,647731a58664fd383a5bfc1b
c1b,26.0,individual,1450.0,4.0,,,,,,,,,05c82153fbe46bdd092fc8c1ddda69b5,700.0,1450.0,647731a58664fd383a5bfc1b
c1b,,demonstration,,,,,,,,,,,,,,647731a58664fd383a5bfc1b
c1c,4.0,individual,-200.0,3.0,,,,,,,,,4f0437457d9c88ffda7209165e9a7ea9,600.0,1150.0,647731a58664fd383a5bfc1c
c1c,5.0,individual,350.0,2.0,,,,,,,,,a546d4894689590efe5352c257e3ea57,600.0,1650.0,647731a58664fd383a5bfc1c
c1c,10.0,try_yourself,250.0,2.0,,,,,,,,,494f81180d20e6e3833458bc9e3650a4,400.0,950.0,647731a58664fd383a5bfc1c
c1c,12.0,try_yourself,750.0,4.0,,,,,,,,,494f81180d20e6e3833458bc9e3650a4,400.0,950.0,647731a58664fd383a5bfc1c
c1c,13.0,try_yourself,850.0,4.0,,,,,,,,,fd96e4d30861ce81eac2b1500da110fd,300.0,1050.0,647731a58664fd383a5bfc1c
c1c,15.0,try_yourself,1050.0,4.0,,,,,,,,,fd96e4d30861ce81eac2b1500da110fd,300.0,1050.0,647731a58664fd383a5bfc1c
c1c,16.0,try_yourself,400.0,2.0,,,,,,,,,952e931bb61a5b5dacf6562363b91260,600.0,1450.0,647731a58664fd383a5bfc1c
c1c,18.0,try_yourself,1450.0,4.0,,,,,,,,,952e931bb61a5b5dacf6562363b91260,600.0,1450.0,647731a58664fd383a5bfc1c
c1c,19.0,try_yourself,1050.0,4.0,,,,,,,,,4bab7793667a3302e33d0987aa8d9f8b,800.0,1250.0,647731a58664fd383a5bfc1c
c1c,21.0,try_yourself,1450.0,4.0,,,,,,,,,4bab7793667a3302e33d0987aa8d9f8b,800.0,1250.0,647731a58664fd383a5bfc1c
c1c,23.0,individual,1250.0,4.0,,,,,,,,,37cd6992c63427a35e6c3c6626e72cef,800.0,1250.0,647731a58664fd383a5bfc1c
c1c,24.0,individual,1250.0,4.0,,,,,,,,,b57f2680b362a65aebab686b2b6638b0,700.0,1050.0,647731a58664fd383a5bfc1c
c1c,25.0,individual,1050.0,4.0,,,,,,,,,74606627e7c4c80cea5e07f762f9c3bf,200.0,850.0,647731a58664fd383a5bfc1c
c1c,26.0,individual,500.0,1.0,,,,,,,,,da6ae447cc913350cf4eeffa6323d389,500.0,1250.0,647731a58664fd383a5bfc1c
c1c,,demonstration,,,,,,,,,,,,,,647731a58664fd383a5bfc1c
c1d,4.0,individual,-550.0,1.0,,,,,,,,,23ae1f5c4e447bd0ef5418fb352b4d93,800.0,1250.0,647731a58664fd383a5bfc1d
c1d,5.0,individual,100.0,1.0,,,,,,,,,14e70874acd73d93f58c9dd3ea49f771,200.0,1450.0,647731a58664fd383a5bfc1d
c1d,10.0,try_yourself,-200.0,0.0,,,,,,,,,949d93f06b9a159e993467fe9d6eec5a,500.0,1150.0,647731a58664fd383a5bfc1d
