session_id,session_name,condition,generation,within_generation_idx,started_at,time_spend,expired,replaced,ai_player,simulated_subject,advisor,player_score,move_idx,source_num,target_num,reward,level,correct_repeat,myopic,optimal,large_loss_taken,trial_id,trial_type,solution_total_score,trial_idx
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,0,1,9,-50,1,,False,True,True,0,individual,2650,0
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,1,9,2,-50,2,,False,True,True,0,individual,2650,0
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,2,2,0,-50,3,,False,True,True,0,individual,2650,0
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,3,0,7,400,3,,True,True,False,0,individual,2650,0
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,4,7,10,400,3,,True,True,False,0,individual,2650,0
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,5,10,7,400,3,,True,True,False,0,individual,2650,0
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,6,7,10,400,3,,True,True,False,0,individual,2650,0
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,7,10,7,400,3,,True,True,False,0,individual,2650,0
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,8,7,10,400,3,,True,True,False,0,individual,2650,0
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,9,10,7,400,3,,True,True,False,0,individual,2650,0
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,0,4,10,-50,1,,False,True,True,1,individual,2650,1
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,1,10,11,-50,2,,False,True,True,1,individual,2650,1
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,2,11,7,-50,3,,False,True,True,1,individual,2650,1
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,3,7,5,400,3,,True,True,False,1,individual,2650,1
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,4,5,3,400,3,,True,True,False,1,individual,2650,1
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,5,3,5,400,3,,True,True,False,1,individual,2650,1
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,6,5,3,400,3,,True,True,False,1,individual,2650,1
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,7,3,5,400,3,,True,True,False,1,individual,2650,1
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,8,5,3,400,3,,True,True,False,1,individual,2650,1
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,9,3,5,400,3,,True,True,False,1,individual,2650,1
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,0,4,6,-50,1,,False,True,True,2,individual,2650,2
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,1,6,7,-50,2,,False,True,True,2,individual,2650,2
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,2,7,1,-50,3,,False,True,True,2,individual,2650,2
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,3,1,8,400,3,,True,True,False,2,individual,2650,2
65b18c53b19beea5c33c9b8f,Gen 0 - w_ai - 0 - AI,w_ai,0,0,,0.0,False,False,True,False,,2062,4,8,5,400,3,,True,True,False,2,individual,2650,2
