move_idx,source_num,target_num,reward,level,myopic,optimal,large_loss_taken,session_id,trail_id,score,average_score,session_idx,trail_idx
0,1,5,100,0,True,False,False,655e2a2e7cb69f5cd300581f,0,1600,1850,0,0
1,5,1,200,0,True,True,False,655e2a2e7cb69f5cd300581f,0,1600,1850,0,0
2,1,5,100,0,True,False,False,655e2a2e7cb69f5cd300581f,0,1600,1850,0,0
3,5,1,200,0,True,True,False,655e2a2e7cb69f5cd300581f,0,1600,1850,0,0
4,1,5,100,0,True,False,False,655e2a2e7cb69f5cd300581f,0,1600,1850,0,0
5,5,1,200,0,True,True,False,655e2a2e7cb69f5cd300581f,0,1600,1850,0,0
6,1,5,100,0,True,False,False,655e2a2e7cb69f5cd300581f,0,1600,1850,0,0
7,5,1,200,0,True,True,False,655e2a2e7cb69f5cd300581f,0,1600,1850,0,0
8,1,5,100,0,True,False,False,655e2a2e7cb69f5cd300581f,0,1600,1850,0,0
9,5,1,200,0,True,True,False,655e2a2e7cb69f5cd300581f,0,1600,1850,0,0
0,4,6,200,0,True,False,False,655e2a2e7cb69f5cd300581f,1,2100,1850,0,1
1,6,2,200,0,True,True,False,655e2a2e7cb69f5cd300581f,1,2100,1850,0,1
2,2,4,200,0,True,False,False,655e2a2e7cb69f5cd300581f,1,2100,1850,0,1
3,4,6,200,0,True,False,False,655e2a2e7cb69f5cd300581f,1,2100,1850,0,1
4,6,2,200,0,True,True,False,655e2a2e7cb69f5cd300581f,1,2100,1850,0,1
5,2,4,200,0,True,False,False,655e2a2e7cb69f5cd300581f,1,2100,1850,0,1
6,4,6,200,0,True,False,False,655e2a2e7cb69f5cd300581f,1,2100,1850,0,1
7,6,2,200,0,True,True,False,655e2a2e7cb69f5cd300581f,1,2100,1850,0,1
8,2,4,200,0,True,False,False,655e2a2e7cb69f5cd300581f,1,2100,1850,0,1
9,4,6,200,0,True,False,False,655e2a2e7cb69f5cd300581f,1,2100,1850,0,1
0,4,0,200,0,True,False,False,655e2a2e7cb69f5cd300581f,2,2100,1850,0,2
1,0,9,200,0,True,False,False,655e2a2e7cb69f5cd300581f,2,2100,1850,0,2
2,9,0,200,0,True,False,False,655e2a2e7cb69f5cd300581f,2,2100,1850,0,2
3,0,9,200,0,True,False,False,655e2a2e7cb69f5cd300581f,2,2100,1850,0,2
4,9,0,200,0,True,False,False,655e2a2e7cb69f5cd300581f,2,2100,1850,0,2
5,0,9,200,0,True,False,False,655e2a2e7cb69f5cd300581f,2,2100,1850,0,2
6,9,0,200,0,True,False,False,655e2a2e7cb69f5cd300581f,2,2100,1850,0,2
7,0,9,200,0,True,False,False,655e2a2e7cb69f5cd300581f,2,2100,1850,0,2
8,9,0,200,0,True,False,False,655e2a2e7cb69f5cd300581f,2,2100,1850,0,2
9,0,9,200,0,True,False,False,655e2a2e7cb69f5cd300581f,2,2100,1850,0,2
0,0,5,200,0,True,False,False,655e2a2e7cb69f5cd300581f,3,1900,1850,0,3
1,5,11,200,0,True,False,False,655e2a2e7cb69f5cd300581f,3,1900,1850,0,3
2,11,8,100,0,True,False,False,655e2a2e7cb69f5cd300581f,3,1900,1850,0,3
3,8,0,200,0,True,True,False,655e2a2e7cb69f5cd300581f,3,1900,1850,0,3
4,0,5,200,0,True,False,False,655e2a2e7cb69f5cd300581f,3,1900,1850,0,3
5,5,11,200,0,True,False,False,655e2a2e7cb69f5cd300581f,3,1900,1850,0,3
6,11,8,100,0,True,False,False,655e2a2e7cb69f5cd300581f,3,1900,1850,0,3
7,8,0,200,0,True,True,False,655e2a2e7cb69f5cd300581f,3,1900,1850,0,3
8,0,5,200,0,True,False,False,655e2a2e7cb69f5cd300581f,3,1900,1850,0,3
9,5,11,200,0,True,False,False,655e2a2e7cb69f5cd300581f,3,1900,1850,0,3
0,11,10,100,0,True,False,False,655e2a2e7cb69f5cd300581f,4,1600,1850,0,4
1,10,9,200,0,True,False,False,655e2a2e7cb69f5cd300581f,4,1600,1850,0,4
2,9,3,200,0,True,False,False,655e2a2e7cb69f5cd300581f,4,1600,1850,0,4
3,3,9,100,0,True,False,False,655e2a2e7cb69f5cd300581f,4,1600,1850,0,4
4,9,3,200,0,True,False,False,655e2a2e7cb69f5cd300581f,4,1600,1850,0,4
5,3,9,100,0,True,False,False,655e2a2e7cb69f5cd300581f,4,1600,1850,0,4
6,9,3,200,0,True,False,False,655e2a2e7cb69f5cd300581f,4,1600,1850,0,4
7,3,9,100,0,True,False,False,655e2a2e7cb69f5cd300581f,4,1600,1850,0,4
8,9,3,200,0,True,False,False,655e2a2e7cb69f5cd300581f,4,1600,1850,0,4
9,3,9,100,0,True,False,False,655e2a2e7cb69f5cd300581f,4,1600,1850,0,4
0,8,3,200,0,True,False,False,655e2a2e7cb69f5cd300581f,5,2100,1850,0,5
1,3,11,200,0,True,False,False,655e2a2e7cb69f5cd300581f,5,2100,1850,0,5
2,11,7,200,0,True,False,False,655e2a2e7cb69f5cd300581f,5,2100,1850,0,5
3,7,3,200,0,True,False,False,655e2a2e7cb69f5cd300581f,5,2100,1850,0,5
4,3,11,200,0,True,False,False,655e2a2e7cb69f5cd300581f,5,2100,1850,0,5
5,11,7,200,0,True,False,False,655e2a2e7cb69f5cd300581f,5,2100,1850,0,5
6,7,3,200,0,True,False,False,655e2a2e7cb69f5cd300581f,5,2100,1850,0,5
7,3,11,200,0,True,False,False,655e2a2e7cb69f5cd300581f,5,2100,1850,0,5
8,11,7,200,0,True,False,False,655e2a2e7cb69f5cd300581f,5,2100,1850,0,5
9,7,3,200,0,True,False,False,655e2a2e7cb69f5cd300581f,5,2100,1850,0,5
0,0,4,200,0,True,False,False,655e2a2e7cb69f5cd300581f,6,1600,1850,0,6
1,4,7,100,0,True,False,False,655e2a2e7cb69f5cd300581f,6,1600,1850,0,6
2,7,4,200,0,True,False,False,655e2a2e7cb69f5cd300581f,6,1600,1850,0,6
3,4,7,100,0,True,False,False,655e2a2e7cb69f5cd300581f,6,1600,1850,0,6
4,7,4,200,0,True,False,False,655e2a2e7cb69f5cd300581f,6,1600,1850,0,6
5,4,7,100,0,True,False,False,655e2a2e7cb69f5cd300581f,6,1600,1850,0,6
6,7,4,200,0,True,False,False,655e2a2e7cb69f5cd300581f,6,1600,1850,0,6
7,4,7,100,0,True,False,False,655e2a2e7cb69f5cd300581f,6,1600,1850,0,6
8,7,4,200,0,True,False,False,655e2a2e7cb69f5cd300581f,6,1600,1850,0,6
9,4,7,100,0,True,False,False,655e2a2e7cb69f5cd300581f,6,1600,1850,0,6
0,4,1,200,0,True,False,False,655e2a2e7cb69f5cd300581f,7,2100,1850,0,7
1,1,5,200,0,True,False,False,655e2a2e7cb69f5cd300581f,7,2100,1850,0,7
2,5,4,200,0,True,False,False,655e2a2e7cb69f5cd300581f,7,2100,1850,0,7
