session_id,session_name,condition,generation,within_generation_idx,started_at,time_spend,expired,replaced,ai_player,simulated_subject,advisor,player_score,move_idx,source_num,target_num,reward,level,correct_repeat,myopic,optimal,large_loss_taken,trial_id,trial_type,solution_total_score,trial_idx
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,3,8,0,200,0,,True,True,False,3,individual,1900,3
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,4,0,5,200,0,,True,False,False,3,individual,1900,3
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,5,5,11,200,0,,True,False,False,3,individual,1900,3
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,6,11,8,100,0,,True,False,False,3,individual,1900,3
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,7,8,0,200,0,,True,True,False,3,individual,1900,3
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,8,0,5,200,0,,True,False,False,3,individual,1900,3
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,9,5,11,200,0,,True,False,False,3,individual,1900,3
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,0,11,10,100,0,,True,False,False,5,demonstration,1600,4
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,1,10,9,200,0,,True,False,False,5,demonstration,1600,4
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,2,9,3,200,0,,True,False,False,5,demonstration,1600,4
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,3,3,9,100,0,,True,False,False,5,demonstration,1600,4
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,4,9,3,200,0,,True,False,False,5,demonstration,1600,4
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,5,3,9,100,0,,True,False,False,5,demonstration,1600,4
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,6,9,3,200,0,,True,False,False,5,demonstration,1600,4
