,network_id,strategy,step,source_node,current_node,reward,total_reward
72,5df173a54c1bdece6b9ff98eba4d3ee3,myopic,1,1,3,0,0
73,5df173a54c1bdece6b9ff98eba4d3ee3,myopic,2,3,0,100,100
74,5df173a54c1bdece6b9ff98eba4d3ee3,myopic,3,0,4,200,300
75,5df173a54c1bdece6b9ff98eba4d3ee3,myopic,4,4,0,0,300
76,5df173a54c1bdece6b9ff98eba4d3ee3,myopic,5,0,4,200,500
77,5df173a54c1bdece6b9ff98eba4d3ee3,myopic,6,4,0,0,500
78,5df173a54c1bdece6b9ff98eba4d3ee3,myopic,7,0,4,200,700
79,5df173a54c1bdece6b9ff98eba4d3ee3,myopic,8,4,0,0,700
80,92830783df31813c7ac48676c76be1c1,myopic,1,7,5,100,100
81,92830783df31813c7ac48676c76be1c1,myopic,2,5,4,-50,50
82,92830783df31813c7ac48676c76be1c1,myopic,3,4,7,0,50
83,92830783df31813c7ac48676c76be1c1,myopic,4,7,5,100,150
84,92830783df31813c7ac48676c76be1c1,myopic,5,5,1,-50,100
85,92830783df31813c7ac48676c76be1c1,myopic,6,1,9,200,300
86,92830783df31813c7ac48676c76be1c1,myopic,7,9,5,100,400
87,92830783df31813c7ac48676c76be1c1,myopic,8,5,4,-50,350
88,6006be3fb9b56d1b365041ce62ebc787,myopic,1,9,5,0,0
89,6006be3fb9b56d1b365041ce62ebc787,myopic,2,5,3,100,100
90,6006be3fb9b56d1b365041ce62ebc787,myopic,3,3,5,200,300
91,6006be3fb9b56d1b365041ce62ebc787,myopic,4,5,3,100,400
92,6006be3fb9b56d1b365041ce62ebc787,myopic,5,3,5,200,600
93,6006be3fb9b56d1b365041ce62ebc787,myopic,6,5,3,100,700
94,6006be3fb9b56d1b365041ce62ebc787,myopic,7,3,5,200,900
95,6006be3fb9b56d1b365041ce62ebc787,myopic,8,5,3,100,1000
96,b5e1185c95ad881cf882252b7e8fe84a,myopic,1,1,9,200,200
97,b5e1185c95ad881cf882252b7e8fe84a,myopic,2,9,1,200,400
98,b5e1185c95ad881cf882252b7e8fe84a,myopic,3,1,9,200,600
99,b5e1185c95ad881cf882252b7e8fe84a,myopic,4,9,1,200,800
100,b5e1185c95ad881cf882252b7e8fe84a,myopic,5,1,9,200,1000
101,b5e1185c95ad881cf882252b7e8fe84a,myopic,6,9,1,200,1200
102,b5e1185c95ad881cf882252b7e8fe84a,myopic,7,1,9,200,1400
103,b5e1185c95ad881cf882252b7e8fe84a,myopic,8,9,1,200,1600
104,977134714768ced9d234a0f8390cff49,myopic,1,0,6,100,100
105,977134714768ced9d234a0f8390cff49,myopic,2,6,0,100,200
106,977134714768ced9d234a0f8390cff49,myopic,3,0,6,100,300
107,977134714768ced9d234a0f8390cff49,myopic,4,6,0,100,400
108,977134714768ced9d234a0f8390cff49,myopic,5,0,6,100,500
109,977134714768ced9d234a0f8390cff49,myopic,6,6,0,100,600
